"id","idcircu","idlabel","electores","participacion","mesascircuito","pJXC","pFDT","pFIT","pLib","pjxccircu","pfdtcircu","plibcircu","pfitcircu","zdifjxc","zdiffdt","zdiflib","zdiffit","atipicas","atipicajxc","atipicafdt","atipicalib","atipicafit"
"0212501021000254X","0212501021","PBA",350,73.71,29,23.26,7.75,2.33,4.65,28.36,42.76,7.75,4.45,-1.02491492716417,-4.23375478218028,-1.41858616072007,-1.48293899154818,1,0,1,0,0
"021280304A000106X","021280304A","PBA",350,77.14,81,21.93,28.62,14.5,4.83,20.47,40.06,5.38,8.19,0.44991453179714,-2.81162080579592,-0.353333092492985,3.14685105281663,1,0,0,0,1
"0212900398000058X","0212900398","PBA",350,75.71,216,45.1,38.43,4.31,7.06,29.35,44.22,7.58,8.72,3.51615811745908,-0.987850510200912,-0.281035719673288,-2.18840601991384,1,1,0,0,0
"0212900398000092X","0212900398","PBA",350,70.57,216,12.55,57.49,5.26,8.91,29.35,44.22,7.58,8.72,-3.75056865862302,2.26403735239484,0.718802898395139,-1.71698068682582,1,1,0,0,0
"0212900398000141X","0212900398","PBA",350,69.43,216,28.4,2.06,10.29,6.17,29.35,44.22,7.58,8.72,-0.212085727719755,-7.19305311054758,-0.762039162960261,0.779092392577034,1,0,1,0,0
"0212900398000192X","0212900398","PBA",350,70.29,216,43.98,31.12,6.22,6.64,29.35,44.22,7.58,8.72,3.26612020688422,-2.23503310598134,-0.508026108640174,-1.24059298181057,1,1,0,0,0
"0212900398000209X","0212900398","PBA",350,72.57,216,29.53,38.98,14.96,7.48,29.35,44.22,7.58,8.72,0.0401846641995323,-0.894013242392536,-0.0540453307064013,3.09652008259917,1,0,0,0,1
"0212900398000212X","0212900398","PBA",350,75.14,216,22.05,60.08,8.37,1.9,29.35,44.22,7.58,8.72,-1.62971138142548,2.70592557716519,-3.0697747841236,-0.17368301745348,1,0,0,1,0
"021290398A000229X","021290398A","PBA",350,58.57,227,8.96,64.18,7.96,6.47,19.76,53.91,6.39,8.48,-3.45598077799373,1.65029201816883,0.0387347368253463,-0.206578145737352,1,1,0,0,0
"021290398A000230X","021290398A","PBA",350,65.71,227,20,2.61,7.39,6.96,19.76,53.91,6.39,8.48,0.0767995728443046,-8.24342556300494,0.275984999880592,-0.433019574718681,1,0,1,0,0
"021290398A000283X","021290398A","PBA",350,58.29,227,24.51,46.57,6.86,12.75,19.76,53.91,6.39,8.48,1.51999154587687,-1.17946868679252,3.07941157761503,-0.643570377104828,1,0,0,1,0
"021290398A000347X","021290398A","PBA",350,21.71,227,21.43,5.71,28.57,15.71,19.76,53.91,6.39,8.48,0.534397027708289,-7.7452848369754,4.51259684015284,7.98106720742962,1,0,1,1,1
"021290398A000371X","021290398A","PBA",350,70.29,227,29.27,45.53,6.91,7.72,19.76,53.91,6.39,8.48,3.04318307395559,-1.34658686584759,0.643964999721381,-0.623707093860852,1,1,0,0,0
"021290398B000546X","021290398B","PBA",350,67.71,180,22.36,58.23,5.91,4.64,27.3,44.54,8.26,9.29,-1.20043172565212,3.25912547205306,-1.80680110186619,-1.52561828330919,1,0,1,0,0
"021290398B000548X","021290398B","PBA",350,70.57,180,18.52,58.44,8.64,7.82,27.3,44.54,8.26,9.29,-2.13356084032906,3.3091193616901,-0.219611183652244,-0.293388131405613,1,0,1,0,0
"021290398B000625X","021290398B","PBA",350,60.57,180,12.5,56.25,12.5,9.13,27.3,44.54,8.26,9.29,-3.59643512948407,2.78775451261806,0.434231204039666,1.44888600278772,1,1,0,0,0
"0213000399000060X","0213000399","PBA",350,71.43,204,20.8,52.8,12.4,8,22.99,52.77,7.09,7,-0.627132271136722,0.00705594482830912,0.550069144776049,3.01296184002935,1,0,0,0,1
"0213000399000101X","0213000399","PBA",350,78,204,34.44,33.7,6.67,10,22.99,52.77,7.09,7,3.27884223950478,-4.48522892919606,1.75901232010802,-0.184125445779572,1,1,1,0,0
"0213000399000102X","0213000399","PBA",350,76.86,204,34.73,43.13,4.58,8.78,22.99,52.77,7.09,7,3.36188715212106,-2.26731027149712,1.02155698315552,-1.35025326905019,1,1,0,0,0
"021300399A000287X","021300399A","PBA",350,42.29,104,48.28,15.86,13.79,4.14,24.63,51.83,7.23,6.98,5.52905459366188,-6.55117775864032,-2.06196218457971,3.66814229898311,1,1,1,0,1
"021300399D000412X","021300399D","PBA",350,74.29,88,29.25,41.9,6.32,13.83,28.75,47.75,7.31,7.43,0.152269183839867,-1.26923959985966,3.73386949754409,-0.637888655478157,1,0,0,1,0
"021300399F000582X","021300399F","PBA",350,73.43,155,35.02,42.8,7.39,1.56,33.77,42.13,8.01,7.68,0.277410705771102,0.143609752676589,-3.02828176323117,-0.158390372728701,1,0,0,1,0
"0213200289000100X","0213200289","PBA",350,56.86,132,52.76,6.53,13.07,12.06,33.94,41.07,7.67,6.63,3.81575907616378,-6.1978268790301,2.18665342819569,3.57567428756484,1,1,1,0,1
"0213200289000120X","0213200289","PBA",350,70,132,27.76,40.41,6.53,13.88,33.94,41.07,7.67,6.63,-1.25299633850649,-0.118429812975098,3.09319311824493,-0.0555228926640501,1,0,0,1,0
"0213200290000184X","0213200290","PBA",350,71.43,84,21.46,46.15,7.29,12.96,25.56,49.66,6.72,7.22,-1.21072162102647,-0.895897590756789,3.34837553604262,0.0420134208397183,1,0,0,1,0
"0213200290000206X","0213200290","PBA",350,79.43,84,15.88,63.18,5.42,4.69,25.56,49.66,6.72,7.22,-2.85848421744785,3.45086479402615,-1.08929524650105,-1.08034510730704,1,0,1,0,0
"0213300666000019X","0213300666","PBA",350,76.86,163,40.75,36.6,3.02,12.83,34.82,41.71,7.22,7.14,1.3615975895652,-1.17882230731363,3.10147540564302,-2.31422658193145,1,0,0,1,0
"0213300667000329X","0213300667","PBA",350,74.86,151,57.92,21.62,9.65,5.41,44.07,32.47,8.03,7.35,3.38288882329433,-2.86457997149107,-1.41163507785202,1.22375149870368,1,1,0,0,0
"0213300667000341X","0213300667","PBA",350,75.14,151,39.92,33.84,14.07,6.46,44.07,32.47,8.03,7.35,-1.0136453874853,0.361702724510855,-0.845903462682317,3.57548263969075,1,0,0,0,1
"0213300667000369X","0213300667","PBA",350,75.43,151,33.85,36.54,13.08,8.08,44.07,32.47,8.03,7.35,-2.49625442412043,1.07454751004319,0.0269396007223672,3.04873742937916,1,0,0,0,1
"0213300667000372X","0213300667","PBA",350,70.86,151,42.8,31.69,4.94,14.81,44.07,32.47,8.03,7.35,-0.310199913760563,-0.205932938042675,3.65300985795294,-1.28227874429385,1,0,0,1,0
"0213400668000013X","0213400668","PBA",350,71.71,159,24.8,52.03,6.5,8.13,42.96,33.01,8.22,7.02,-3.42486455423846,3.36323525302842,,-0.157083149843728,1,1,1,0,0
"0213400668000043X","0213400668","PBA",350,74.86,159,59.46,23.94,4.25,7.72,42.96,33.01,8.22,7.02,3.11179874146115,-1.60381407702249,,-0.836769855898321,1,1,0,0,0
"0213400668000134X","0213400668","PBA",350,65.43,159,38.86,4.37,41.92,10.48,42.96,33.01,8.22,7.02,-0.773234838787317,-5.06430376691556,,10.5426960183579,1,0,1,0,1
"021340668A000166X","021340668A","PBA",350,99.71,118,32.38,32.38,22.64,6.3,28.29,45.97,6.59,7.32,0.972950548397335,-2.80749409218836,-0.163157858799625,6.86075139010245,1,0,0,0,1
"021340668B000407X","021340668B","PBA",350,45.14,158,54.84,10.97,14.19,10.97,34.04,40.89,7.32,7.75,4.36253537015164,-5.94462978698751,1.91955767968233,3.62282868310139,1,1,1,0,1
"0300100003000060X","0300100003","Catamarca",348,38.22,117,6.02,66.17,,,32.57,47.74,0,6.48,-5.15926124881082,3.47286480345919,,,1,1,1,,
"0300100006000200X","0300100006","Catamarca",329,28.27,13,13.98,67.74,,,44.32,37.87,0,6.13,-3.18148434283841,3.14856012702173,,,1,1,1,,
"0300100007000277X","0300100007","Catamarca",348,66.67,131,56.33,31.88,3.93,,40.42,40.25,0,6.16,3.27186976027445,-1.7772475107094,,,1,1,0,,0
"0300300030000477X","0300300030","Catamarca",341,37.24,33,64.52,11.29,2.42,,36.07,49.77,0,1.43,3.33624713820621,-3.72681062506457,,,1,1,1,,0
"0300300030000484X","0300300030","Catamarca",341,71.26,33,61.73,21.4,1.65,,36.07,49.77,0,1.43,3.009072111296,-2.74765118069339,,,1,1,0,,0
"0301600154000997X","0301600154","Catamarca",342,75.44,35,54.51,21.18,3.14,,35.63,39.38,0,3.43,3.07025441510317,-2.9300788982672,,,1,1,0,,0
"0400100005000325X","0400100005","Córdoba",349,49.57,39,73.26,7.56,5.23,1.74,55.45,7.17,2.6,4.86,3.62328193196526,0.223757414936408,-0.879287820056367,0.205101911185709,1,1,0,0,0
"0400100005000355X","0400100005","Córdoba",348,64.94,39,54.55,5,10.91,3.18,55.45,7.17,2.6,4.86,-0.183096784883142,-1.24500920618463,0.593008064689178,3.35369341263119,1,0,0,0,1
"040010004A000192X","040010004A","Córdoba",346,77.17,52,70.61,5.73,4.2,1.91,58.57,8.58,2.55,5.21,3.16702525551919,-1.46450632207187,-0.543673164216958,-0.611432263650532,1,1,0,0,0
"040010005C000390X","040010005C","Córdoba",346,33.53,52,6.25,10.71,9.82,4.46,55.43,6.43,2.61,4.58,-5.84240146218685,1.86726968326362,1.73176944200375,3.71705435152208,1,1,0,0,1
"040010007B000724X","040010007B","Córdoba",346,63.29,64,56.81,0.94,10.8,2.82,57.17,10.7,2.46,5.94,-0.101131137781666,-3.69181397969212,,2.80753516618319,1,0,1,0,0
"040010007E000806X","040010007E","Córdoba",347,73.2,49,43.72,16.6,4.05,2.83,56.05,9.51,2.4,5.33,-3.16662209894361,2.88289238659841,0.379427234263682,-0.875831092824148,1,1,0,0,0
"040010007G000857X","040010007G","Córdoba",344,66.57,36,51.11,7.56,9.78,1.78,53.62,7.78,2.33,4.48,-0.490186216742717,-0.0960556184923669,,3.0135719796913,1,0,0,0,1
"040010007G000888X","040010007G","Córdoba",343,54.52,36,75.96,12.02,4.37,,53.62,7.78,2.33,4.48,4.36285262232363,1.85125373821652,,-0.062545833540763,1,1,0,,0
"040010009B001024X","040010009B","Córdoba",336,71.73,23,54.2,7.98,10.92,2.1,63.32,8.55,1.84,5.15,-2.58323429385128,-0.379591022198119,0.3308992136939,3.0524498936233,1,0,0,0,1
"040010010F001360X","040010010F","Córdoba",342,73.68,38,13.22,50,2.48,2.89,53.55,8.66,3.03,5.38,-4.91109137133859,5.72094776800653,-0.109141435352956,-1.49104600114517,1,1,1,0,0
"040010010J001544X","040010010J","Córdoba",346,65.03,36,51.8,7.21,9.46,2.7,54.01,6.88,2.69,4.31,-0.487193989326856,0.179147693882507,0.00965080622357786,3.07933707692965,1,0,0,0,1
"040010010L001587X","040010010L","Córdoba",346,36.42,78,66.4,8.8,7.2,3.2,45.57,5.77,2.61,4.16,4.1980109011098,1.35795856542017,0.492010280900792,1.07958407899492,1,1,0,0,0
"040010010L001600X","040010010L","Córdoba",346,84.68,78,28.52,4.12,24.74,2.75,45.57,5.77,2.61,4.16,-3.43620191377447,-0.739482387109995,0.116748202247646,7.30850011372216,1,1,0,0,1
"040010011C001796X","040010011C","Córdoba",346,44.22,41,31.72,14.48,10.34,1.38,58.02,7.87,2.38,4.63,-4.58991592206001,3.42944903239434,-1.05839214901167,2.89533345748372,1,1,1,0,0
"040010012D002284X","040010012D","Córdoba",349,33.81,79,0.91,16.36,5.45,2.73,47.22,6.92,2.45,4.25,-6.99575576307781,4.19200418427068,,0.783484821733397,1,1,1,0,0
"040010012G002426X","040010012G","Córdoba",340,55.59,33,72.22,6.11,5.56,0.56,50.03,5.66,2.67,3.95,4.09129576128363,0.246017425145,-1.96376401860021,1.0642123991456,1,1,0,0,0
"040010013H002735X","040010013H","Córdoba",346,59.54,50,5.34,,4.85,33.98,51.46,6.2,2.84,3.73,-5.48151610649714,,,,1,1,,,0
"040010014A002910X","040010014A","Córdoba",350,35.14,55,4.17,13.33,4.17,2.5,38.4,7.39,1.66,3.9,-5.36106676858247,2.50503952010527,,0.180554938287085,1,1,0,0,0
"040010014O003230X","040010014O","Córdoba",343,34.11,22,6.84,4.27,10.26,5.98,48.52,8.99,1.89,4.57,-4.18989503176129,-1.71018798246741,,2.6946796920865,1,1,0,0,0
"0400200017003273X","0400200017","Córdoba",337,56.97,23,71.43,,4.95,3.85,47.74,29.07,2.76,3.84,3.57513126213229,,1.01767200227887,0.74031492028355,1,1,,0,0
"0400300028003441X","0400300028","Córdoba",349,71.92,59,46.09,4.94,9.05,2.06,50.32,6.96,2.06,3.33,-0.969826624585921,-1.08703187346465,0,4.02606181319847,1,0,0,0,1
"0400300033003675X","0400300033","Córdoba",347,69.45,85,2.07,2.9,6.64,16.18,61.8,6.07,2.59,2.77,-7.14055723439246,-1.52434511819082,,3.0441983286034,1,1,0,,0
"0400300037003832X","0400300037","Córdoba",348,68.39,61,48.68,17.98,8.33,1.32,56.59,10.14,2.12,5.99,-2.0487662202243,3.15274801207947,-0.715255114097887,1.25279339937672,1,0,1,0,0
"0400300040003915X","0400300040","Córdoba",349,64.47,56,45.66,21.46,4.11,0.91,50.86,12.06,2.41,6.16,-1.24858143974599,3.27426581130792,,-1.04920117492566,1,0,1,0,0
"0400300041004056X","0400300041","Córdoba",347,64.84,93,53.15,14.86,2.25,1.8,62.19,8.33,2.16,3.81,-1.94180732695669,3.0634750601209,,-1.33150643959078,1,0,1,0,0
"040030041A004112X","040030041A","Córdoba",346,67.92,39,50.64,14.16,1.29,1.29,46.94,7.82,2.03,3.92,0.783153308415624,3.03422053923676,,-1.5664777494152,1,0,1,0,0
"0400600089004523X","0400600089","Córdoba",349,94.56,209,38.89,16.98,1.85,24.69,50.47,20.9,2.53,2.88,-1.84661592727067,-0.999256328688534,12.161105970026,,1,0,0,1,0
"0400700095004797X","0400700095","Córdoba",349,82.52,56,37.05,13.31,17.99,0.72,48.93,11.87,2.1,3.41,-2.21019811624576,0.501385254410292,,5.87262893289165,1,0,0,0,1
"0400900125005062X","0400900125","Córdoba",339,71.98,26,50.41,20.08,0.41,3.28,56.33,9.98,2.28,2.02,-1.21340074440715,3.17608929795846,0.973440766640558,-1.12268514899847,1,0,1,0,0
"0400900131005136X","0400900131","Córdoba",341,75.37,28,37.94,26.48,1.58,8.3,46.96,27.35,2.61,1.55,-1.31768770471348,-0.158190565976699,3.68928700557198,,1,0,0,1,0
"0400900133005206X","0400900133","Córdoba",349,38.4,69,0.75,,17.16,4.48,57.34,9.85,1.84,1.74,-6.55241527864277,,,,1,1,,0,
"0401200148005357X","0401200148","Córdoba",342,50.88,33,61.35,2.45,6.13,1.84,44.05,23.71,2.61,5.15,2.27397668287252,-3.85655529403535,,0.560156099876994,1,0,1,0,0
"0401200148005360X","0401200148","Córdoba",342,62.87,33,14.62,24.06,2.36,2.83,44.05,23.71,2.61,5.15,-3.86838923566118,0.0634898566750876,,-1.59473012107838,1,1,0,0,0
"0401200152005432X","0401200152","Córdoba",342,66.08,19,43.3,6.7,0.89,1.79,47.6,13.02,3.02,3.18,-0.762268792140704,-3.10321006350419,-0.295565642370872,-1.70754910059956,1,0,1,0,0
"0401200152005436X","0401200152","Córdoba",341,84.75,19,41.55,9.86,2.46,19.72,47.6,13.02,3.02,3.18,-1.07249446336076,-1.55160503175209,4.01296441267769,-0.536871332939599,1,0,0,1,0
"0401200156005570X","0401200156","Córdoba",350,63.71,167,55.09,17.59,4.63,2.78,62.21,9.21,2.48,3.32,-1.2547063483768,3.38684223521733,0.26038211536029,0.992669443672438,1,0,1,0,0
"0401300166005981X","0401300166","Córdoba",335,57.31,19,2.6,,8.85,16.15,58.1,8.23,2.66,2.25,-3.54150225847545,,,,1,1,,,
"0401300186006176X","0401300186","Córdoba",347,31.7,78,59.81,19.63,3.74,3.74,38.46,9.31,2.9,2.12,3.8495646746128,3.94098940916263,0.665416939160092,,1,1,1,0,0
"0401300188006265X","0401300188","Córdoba",350,62.57,219,28.31,9.13,1.83,4.11,57.99,8.73,2.99,2.46,-3.93941137777276,0.177727814664347,0.976146741514856,,1,1,0,0,0
"0401300188006422X","0401300188","Córdoba",349,65.04,219,50.89,17.41,3.12,3.57,57.99,8.73,2.99,2.46,-0.942379406407904,3.85669357821633,0.505504562570193,,1,0,1,0,0
"0401400218006565X","0401400218","Córdoba",349,72.78,21,48.62,32.81,0.79,,57.58,20.02,1.47,1.07,-1.91083206100984,3.19089952785237,,,1,0,1,,0
"0401600245006921X","0401600245","Córdoba",341,61.29,41,41.26,10.19,2.91,1.46,62.32,6.57,1.88,1.57,-3.06840756247567,1.62067061974139,-0.577485359479205,,1,1,0,0,0
"0401700248006940X","0401700248","Córdoba",349,65.62,54,48,13.78,1.78,1.78,56.52,7.42,2.15,2.29,-1.43981243039205,3.02740064805378,-0.407176321053077,-0.484365290187277,1,0,1,0,0
"0402000279007341X","0402000279","Córdoba",347,72.91,61,48.41,13.1,1.19,1.19,59.97,6.21,2.18,1.56,-2.25990021992628,3.14242223516318,,,1,0,1,0,0
"0402000282007416X","0402000282","Córdoba",340,70.88,27,32.76,32.33,1.72,2.16,48.51,16.86,1.73,1.21,-2.26838675927171,3.08724143125054,,,1,0,1,0,0
"0402000298007536X","0402000298","Córdoba",350,70,44,2.04,3.27,11.02,32.24,48.98,9.72,2.72,2.07,-5.23946804116963,,,,1,1,,,
"0402000310007689X","0402000310","Córdoba",349,58.17,80,75.62,8.46,8.96,1.99,53.04,9.94,2.66,3.31,4.00545911182229,-0.661538664633298,-0.674031551227683,4.12286726562261,1,1,0,0,1
"040200310A007764X","040200310A","Córdoba",347,69.45,85,34.2,14.72,3.46,3.46,54.88,9.31,2.75,2.7,-3.31166110051015,1.8115832295909,0.549023786538455,,1,1,0,0,0
"0402100316007885X","0402100316","Córdoba",349,61.6,131,34.91,11.32,2.36,1.42,51.26,8.42,2.41,3.52,-3.11693605964563,1.19152432632375,,-0.775410158412674,1,1,0,0,0
"0402100316007909X","0402100316","Córdoba",349,67.62,131,45.41,16.16,3.06,1.75,51.26,8.42,2.41,3.52,-1.11523400299247,3.18013733991235,,-0.307490235232612,1,0,1,0,0
"0402100326008107X","0402100326","Córdoba",340,55.29,24,76.22,11.35,2.16,4.32,54.26,10,2.29,2.56,3.57956212741998,0.568985434233074,2.02910327568285,-0.378871586852591,1,1,0,0,0
"0402600375008697X","0402600375","Córdoba",346,59.54,92,44.67,18.78,5.08,3.05,60.91,9.84,2.01,2.44,-2.70955286824312,3.65566775001201,1.10781116009734,,1,0,1,0,0
"0500100008000692X","0500100008","Corrientes",350,67.14,49,44.68,45.96,,,59.42,31.16,0,0,-3.25834027224707,3.66190744094652,,,1,1,1,,
"0500100009000723X","0500100009","Corrientes",350,35.71,80,25.21,61.34,,,57.54,33.47,0,0,-5.65065266220131,5.34102704495292,,,1,1,1,,
"050010002A000068X","050010002A","Corrientes",350,62.86,53,48.08,4.33,,,53.47,35.6,0,0,-1.12324139066325,-4.72840268327431,,,1,0,1,,
"050010005A000212X","050010005A","Corrientes",350,28.57,133,13.54,57.29,,,61.13,29.37,0,0,-7.91304352997017,5.99580022101629,,,1,1,1,,
"050020012A000931X","050020012A","Corrientes",350,64,43,37.56,58.37,,,60.49,33.24,0,0,-3.65159599538441,3.82506061842784,,,1,1,1,,
"0500300017001127X","0500300017","Corrientes",350,48.86,89,87.88,4.85,,,59.11,34.51,0,0,4.16646770404103,-4.60101978813673,,,1,1,1,,
"0500500030001327X","0500500030","Corrientes",350,38.57,39,5.93,92.59,,,36.49,57.86,0,0,-3.48737384927644,3.75769363191507,,,1,1,1,,
"0500700045001621X","0500700045","Corrientes",350,43.43,76,76.67,22,,,51.56,41.87,0,0,3.38838411630468,-2.91396570954845,,,1,1,0,,
"0500800049001688X","0500800049","Corrientes",350,38.29,100,88.55,8.4,,,49.77,44.77,0,0,5.64061926619101,-5.22110277976544,,,1,1,1,,
"0500900055001839X","0500900055","Corrientes",350,62.29,61,37.33,55.3,,,56.72,38.28,0,0,-3.02595165771461,2.87124574418541,,,1,1,0,,
"0601100077001530X","0601100077","Chaco",338,62.72,20,60,27.32,,,43.2,43.71,0,0,2.95094680490943,-3.11686180940454,,,1,0,1,,
"0601100078001551X","0601100078","Chaco",349,66.19,53,27.07,60.26,,,52.9,32.52,0,0,-2.29107729587659,3.71350185951324,,,1,0,1,,
"0601100078001563X","0601100078","Chaco",349,65.62,53,1.31,31,,,52.9,32.52,0,0,-4.57594571019254,-0.203479553945931,,,1,1,0,,
"0601100079001615X","0601100079","Chaco",346,35.26,39,63.93,7.38,,,44.25,42.92,0,0,2.53722540374151,-3.84668709380627,,,1,0,1,,
"0601400098002012X","0601400098","Chaco",349,58.74,70,74.51,15.69,,,48.14,38.98,0,0,3.33216091541329,-3.04213730333342,,,1,1,1,,
"0601600108002165X","0601600108","Chaco",348,51.44,60,64.8,26.82,,,37.96,52.58,0,0,3.08746251477511,-2.99797436351813,,,1,1,0,,
"0601700112002210X","0601700112","Chaco",341,34.9,19,1.68,,,,38.18,48.07,0,0,-3.19116266954362,,,,1,1,,,
"0700200030000507X","0700200030","Chubut",347,67.44,50,29.82,39.45,,,28.67,28.33,0,10.35,0.27978548657584,3.0772574930528,,,1,0,1,,
"0700200031000536X","0700200031","Chubut",339,58.41,19,23.81,37.04,15.87,,41.52,24.69,0,11.24,-3.19419374765407,2.6428133208692,,1.71113252367638,1,1,0,,0
"0701500098001063X","0701500098","Chubut",342,37.13,15,11.48,42.62,7.38,,52.26,21.92,0,5.83,-3.5885001293613,3.36832990834601,,0.755341506597292,1,1,1,,0
"0800100001000029X","0800100001","Entre Ríos",350,38.86,36,10.77,53.85,12.31,,56.44,22.33,0,6.47,-4.89833812989712,4.77719766457635,,2.4594271586971,1,1,1,,0
"0800100004000100X","0800100004","Entre Ríos",350,62.57,32,76.89,1.89,4.72,,65.65,17.03,0,4.77,2.10125566992863,-3.37923931141581,,-0.0278925532219618,1,0,1,,0
"0800100005000133X","0800100005","Entre Ríos",350,68.86,31,33.33,45.73,2.99,,45.45,29.64,0,5.09,-2.08734697092618,3.23950809534825,,-1.36215402245039,1,0,1,,0
"0800100013000413X","0800100013","Entre Ríos",350,69.71,65,34.75,41.95,3.39,,48.48,25.54,0,4.67,-2.67966530333501,3.85807881015597,,-0.974718139419771,1,0,1,,0
"0800100015000467X","0800100015","Entre Ríos",350,76.29,50,23.44,48.44,7.42,,49.92,24.15,0,5.75,-4.21881172632461,4.87457511859273,,1.07725909904559,1,1,1,,0
"0800100016000529X","0800100016","Entre Ríos",350,74.86,38,37.74,32.68,5.06,,52.99,21.27,0,4.95,-2.70090752306911,3.00925355211614,,0.0600475732081281,1,0,1,,0
"0800100017000576X","0800100017","Entre Ríos",350,71.14,56,32.51,39.51,4.94,,47.55,26.21,0,4.73,-3.08082515642711,2.6461030909751,,0.146285954868072,1,1,0,,0
"0800300061001027X","0800300061","Entre Ríos",350,70.29,46,51.28,29.91,2.56,,36.31,48.78,0,2.46,2.48110530944599,-3.09829580979028,,,1,0,1,,0
"0800400077001106X","0800400077","Entre Ríos",350,60.29,39,49.5,43.07,0.99,,59.05,28.92,0,2.25,-2.33990571732958,3.02752251622476,,-1.16182780928658,1,0,1,,0
"0800400092001197X","0800400092","Entre Ríos",105,71.43,20,73.61,22.22,,,74.81,11.51,0,1.9,-0.29396198299063,3.37174376855766,,,1,0,1,,
"0800700128001437X","0800700128","Entre Ríos",350,76,84,45.7,41.8,2.34,,61.71,24.12,0,3.62,-2.97776872358158,3.8090189493356,,,1,0,1,,0
"0800800156001645X","0800800156","Entre Ríos",350,35.71,18,10.74,66.12,0.83,,51.71,36.85,0,1.72,-3.4165956825856,2.96402169042028,,-0.91720869274304,1,1,0,,0
"0801000185002115X","0801000185","Entre Ríos",350,62,50,65.71,12.38,9.05,,52.65,31.15,0,4.22,2.88417631109505,-4.25376490239502,,2.87257091034556,1,0,1,,0
"0801300231002522X","0801300231","Entre Ríos",350,75.14,73,57.25,21.96,3.14,,51.53,35.11,0,3.34,1.30851838239898,-3.00209602693888,,-0.173796132090173,1,0,1,,0
"0900100002000065X","0900100002","Formosa",333,53.15,16,88,4,,,70.61,25.63,0,0,2.80232585029057,-3.10482397399914,,,1,0,1,,
"0900100005000332X","0900100005","Formosa",349,73.35,128,27.34,45.7,,,43.78,48.51,0,0,-3.56495997138263,-0.656230716975716,,,1,1,0,,
"0900100005000373X","0900100005","Formosa",349,71.63,128,27.64,55.28,,,43.78,48.51,0,0,-3.49990595730631,1.58102560637922,,,1,1,0,,
"090060051A001136X","090060051A","Formosa",331,30.21,16,68.04,30.93,,,28.6,69.37,0,0,3.56520610965346,-3.47170518719677,,,1,1,1,,
"1000100008000220X","1000100008","Jujuy",346,70.52,67,66.67,11.67,21.67,,51.71,20.09,0,27.25,3.0678991750064,-2.35783092457879,,-1.32509578265906,1,1,0,,0
"1000200022000688X","1000200022","Jujuy",348,63.22,132,22.49,33.01,41.15,,43.62,23.66,0,31.49,-3.93867816444096,,,2.17957758564496,1,1,,,0
"1000200022000756X","1000200022","Jujuy",347,59.94,132,62.19,,37.31,,43.62,23.66,0,31.49,3.46148857139937,,,1.31316165097864,1,1,,,0
"1100200009000052X","1100200009","La Pampa",350,77.43,124,57.46,29.85,5.97,,42.15,44.85,0,5.2,3.01432636181563,-3.22434468508652,,0.505681951421755,1,1,1,,0
"1100200009000055X","1100200009","La Pampa",350,72.57,124,26.77,56.69,7.48,,42.15,44.85,0,5.2,-3.02810838959662,2.54508273809496,,1.49734396005403,1,1,0,,0
"1100200010000192X","1100200010","La Pampa",349,51.29,142,5.85,69.01,12.87,,40.87,45.24,0,5.88,-5.95452108118909,4.29300248553033,,4.15651706808479,1,1,1,,1
"1101500057000534X","1101500057","La Pampa",348,76.44,64,35.18,53.36,4.74,,50.26,37.32,0,4.64,-2.66631761831329,3.05705452642287,,0.0652473868553436,1,0,1,,0
"120010001D000042X","120010001D","La Rioja",328,74.39,14,12.63,70.53,2.63,13.16,19.09,48.18,10.21,3.34,-2.14699893807299,3.07258393614298,1.30786208160362,,1,0,1,0,0
"120010001H000090X","120010001H","La Rioja",347,59.37,40,13.98,72.04,1.08,10.22,19.29,51.64,10.53,4.15,-1.31168919034673,3.35234666406209,-0.166481125965225,-1.67942937115464,1,0,1,0,0
"120010001M000222X","120010001M","La Rioja",343,63.85,33,32.69,40.38,9.62,12.98,30.39,37.4,11.17,4.57,0.4793570426059,0.561261942967699,,3.02163454456802,1,0,0,0,1
"120010001N000252X","120010001N","La Rioja",349,61.6,40,25.12,46.31,5.91,22.17,24.28,43.22,11.56,5.29,0.189142688813009,0.438554481981875,3.14365557455159,0.135323961039296,1,0,0,1,0
"120010001N000262X","120010001N","La Rioja",349,80.52,40,21.98,33.33,31.14,11.72,24.28,43.22,11.56,5.29,-0.51789069555943,-1.40365819637564,0.0474066816143501,5.64213611752547,1,0,0,0,1
"120010001P000352X","120010001P","La Rioja",345,74.78,78,25.98,37.4,27.56,7.87,23.26,42.52,12.36,4.36,0.60268599483416,-0.864043507734032,,7.72650105793076,1,0,0,0,1
"120010001P000357X","120010001P","La Rioja",345,52.46,78,37.21,54.65,5.81,,23.26,42.52,12.36,4.36,3.09098148085902,2.04704057594019,,0.482906316120672,1,1,0,,0
"120010002A000383X","120010002A","La Rioja",343,62.97,28,25.62,48.28,9.36,11.33,20.97,48.97,10.65,3.81,1.1420825911108,-0.134713592311152,0.22454707224431,3.26959505968833,1,0,0,0,1
"120060018A000555X","120060018A","La Rioja",346,29.77,73,60.2,,10.2,22.45,34.16,48.08,6.83,6.34,4.10901502174036,,6.02443671201365,2.23696995656988,1,1,,1,0
