"id","idcircu","idlabel","electores","participacion","mesascircuito","pJXC","pFDT","pFIT","pLib","pjxccircu","pfdtcircu","plibcircu","pfitcircu","zdifjxc","zdiffdt","zdiflib","zdiffit","atipicas","atipicajxc","atipicafdt","atipicalib","atipicafit"
"0207900663000059X","0207900663","PBA",350,76.29,120,57.25,21.76,7.25,7.25,39.58,34.8,7.57,8.18,3.70362756899139,-3.0053460385288,-0.187538461334753,-0.472343915358645,1,1,1,0,0
"0207900663000120X","0207900663","PBA",198,81.82,120,38.36,36.48,14.47,5.03,39.58,34.8,7.57,8.18,-0.255711694067317,0.387191820914754,-1.4885865368446,3.19467013721062,1,0,0,0,1
"020790663A000172X","020790663A","PBA",350,92,139,26.84,26.84,28.43,9.58,32.29,39.91,7.5,9.46,-1.21750558486182,-2.80071067717773,1.21606361130699,7.01152939476214,1,0,0,0,1
"020790663B000290X","020790663B","PBA",350,76.57,156,13.13,55.98,7.72,4.63,25.37,46.44,6.31,8.65,-3.22430574072169,1.58431206112089,-0.898068660226289,-0.430779006917312,1,1,0,0,0
"020790663B000305X","020790663B","PBA",350,71.14,156,23.69,43.37,8.84,14.46,25.37,46.44,6.31,8.65,-0.442551768334349,-0.509836271241209,4.35670213145491,0.0880086143164397,1,0,0,1,0
"020790663B000310X","020790663B","PBA",350,41.43,156,43.36,9.09,18.88,11.89,25.37,46.44,6.31,8.65,4.73899185258032,-6.20273118269028,2.98287090718017,4.73856907609043,1,1,1,0,1
"020790663B000318X","020790663B","PBA",350,69.14,156,18.6,6.61,9.5,7.85,25.37,46.44,6.31,8.65,-1.78337825691878,-6.61458589040305,0.823229605207431,0.393722748257758,1,0,1,0,0
"020790663C000492X","020790663C","PBA",350,70.29,231,17.21,61.89,9.02,3.28,25.71,47.56,5.06,9.83,-2.32479001080291,3.18226120767508,,-0.363881161447061,1,0,1,0,0
"020790663C000609X","020790663C","PBA",350,72.29,231,21.86,44.13,18.22,3.64,25.71,47.56,5.06,9.83,-1.05299312254014,-0.76169964705691,,3.76909005498869,1,0,0,0,1
"020790663C000664X","020790663C","PBA",191,72.25,231,30.43,45.65,2.9,7.97,25.71,47.56,5.06,9.83,1.2909422177635,-0.424153447778047,,-3.11320549238041,1,0,0,0,1
"020790663D000669X","020790663D","PBA",350,39.43,88,30.3,23.48,15.91,9.09,18.69,54.16,5.02,7.54,2.77779939037086,-4.83255946215121,2.7824557373606,3.62710889662525,1,0,1,0,1
"020790664B000924X","020790664B","PBA",350,53.71,86,6.08,70.72,9.94,5.52,23.5,48.45,6.51,9.09,-4.08063086854076,4.87329585782814,,0.415003036919726,1,1,1,0,0
"0208000665000055X","0208000665","PBA",350,48.86,294,57.06,11.18,11.18,8.82,36.43,38.43,8.25,7.93,4.18106944835208,-5.14888239609144,0.292332818457592,1.67683525987136,1,1,1,0,0
